INFORME,FECHA CIERRE,FECHA SESIÓN,N°,Marca temporal,Autor de la Pregunta,Bloque,Órgano requerido,Organismo (derivación final),Corresponde responder a 2 o mas Ministerios?,Segunda derivación,Justificación o contexto,Pregunta,Respuesta,Organismo requerido inicialmente,Area de gestión,Tema
96,26/09/2016,28/09/2016,128,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Energía y Minería,,,,,¿Cuáles son los programas y/o acciones que el Gobierno Nacional impulsa para optimizar el sistema eléctrico teniendo en cuenta la próxima estación estival?  ,SI,Energía y Minería,Energía eléctrica  ,DESARROLLO ENERGÍA ELÉCTRICA
96,26/09/2016,28/09/2016,129,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"En ninguna norma del proyecto se refiere a partidas presupuestarias  para el financiamiento de la AGNET, ¿Cuál será la fuente de financiamiento necesario para ejecutar las funciones de la Agencia? ",SI,Salud  ,Programas/servicios de salud,FINANCIAMIENTO AGNET
96,26/09/2016,28/08/2016,130,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Energía y Minería,,,,,"¿Qué inversión se ha realizado durante este año a los efectos de paliar los futuros cortes eléctricos, anunciados por el Gobierno Nacional?",SI,Energía y Minería,Energía eléctrica  ,DESARROLLO ENERGÍA ELÉCTRICA
96,26/09/2016,28/09/2016,131,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"En el proyecto se introduce el concepto de “Canasta básica de prestaciones para el sector público”, institución que actualmente no existe en el Sistema de Salud Argentino no prevé una canasta de prestaciones básicas para el sector público, aunque sí lo hace para el sector de obras sociales y prepagas a través del Programa Médico Obligatorio (PMO), de manera de que se encuentren obligadas a garantizar un mínimo de prestaciones básicas. Este nuevo concepto ¿remite a las intenciones de crear un sistema de aseguramiento de la salud como existe en países como EEUU o Colombia, donde la posibilidad del acceso a servicios de salud depende de la capacidad de pago del usuario? ",SI,Salud  ,Programas/servicios de salud,SISTEMA DE ASEGURAMIENTO DE SALUD
96,26/09/2016,28/09/2016,132,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Energía y Minería,,,,,"¿Qué acciones concretas promueve el Gobierno Nacional en relación al proyecto minero Potasio Rio Colorado, localizado en la localidad de Malargue, Provincia de Mendoza, para la ejecución de dicho proyecto?",SI,Energía y Minería,Minería  ,MINA POTASIO RIO COLORADO
96,26/09/2016,28/08/2016,133,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"El Proyecto de Ley también habilita a la AGNET a excluir prestaciones incorporadas al Programa Médico Obligatorio (PMO) a través por ejemplo, de diversas leyes sancionadas con tal fin lo cual implicaría una restricción de derechos adquiridos. ¿La AGNET tendrá la capacidad de excluir prestaciones del PMO que actualmente se encuentran incluídas y que son de cobertura obligatoria por parte de las obras sociales y prepagas?, en su caso, ¿quién las financiará si alguna persona las necesita?",SI,Salud  ,Programas/servicios de salud,INFLUENCIA AGNET AL PMO
96,26/09/2016,28/09/2016,134,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Agroindustria,,,,,"¿Se han evaluado acciones para el fortalecimiento y desarrollo de las economías regionales?, y en su caso, ¿Cuáles son las acciones concretas?",SI,Producción ,Economías Regionales,DESARROLLO ECONOMÍAS REGIONALES
96,26/09/2016,28/09/2016,135,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"El proyecto plantea la AGNET de la existencia de un Directorio, un Consejo asesor y un Consejo evaluador integrado por diferentes actores del campo de la salud. Sin embargo, no hace referencia a que deban cumplir función exclusiva, o que no tengan incompatibilidades por intereses creados. Teniendo en cuenta que podrán conformar dichos consejos “entidades representantes de productores de tecnologías, de la agremiaciones médicas, el Consejo de Obras y Servicios Sociales de la República Argentina, organizaciones no gubernamentales y profesionales idóneos”:
 ¿Cómo se definirá quienes conformen el Directorio y dichos Consejos?; ¿Cómo se evitará que intereses económicos de dichos grupos interfieran en las decisiones de la Agencia?",SI,Salud  ,Programas/servicios de salud,CONFORMACIÓN AUTORIDADES AGNET
96,26/09/2016,28/08/2016,136,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Agroindustria,,,,,"¿Se ha evaluado la situación de los productores de economías regionales que utilizan agua por riego por el sistema de bombeo, en cuanto al aumento de la tarifa eléctrica?, ello teniendo especialmente en cuenta, las fuentes de trabajo que genera la actividad.",SI,Agroindustria ,Economías Regionales,IMPACTO TARIFA LUZ RIEGO POR BOMBEO
96,26/09/2016,28/09/2016,137,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"¿Por qué fueron excluidos de la AGNET, los Consejos a los representantes de Colegios de farmacéuticos y la Cámara de Farmacias siendo que son actores claves en el dispendio de medicamentos?",SI,Salud  ,Programas/servicios de salud,CONFORMACIÓN AUTORIDADES AGNET
96,26/09/2016,28/09/2016,138,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"¿Cuál es la finalidad de que las decisiones de la AGNET sean vinculantes si su finalidad primaria es determinar si las tecnologías son eficaces, seguras y costo-efectivas, y expedirse en favor o en contra de autorizar el uso de esa tecnología en todo el territorio nacional, independientemente de quien la financia?",SI,Salud  ,Programas/servicios de salud,ALCANCE DECISIONES AGNET
96,26/09/2016,28/08/2016,139,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Agroindustria,,,,,"En relación a la Ley 27227 -control de la plaga lobesia botrana- a fin de avanzar sobre el control de la plaga que afecta la vid, que castiga severamente la economía de las provincias: ¿Qué partidas se han reasignado en el año en curso y que previsiones se han elaborado para el año 2017?",SI,Agroindustria ,Agricultura  ,PRESUPUESTO 2017 CONTROL PLAGA POLILLA VID
96,26/09/2016,28/09/2016,140,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"Teniendo en cuenta las declaraciones recientes del Presidente de la Nación en El Tribuno, donde manifestó que: “enviamos al Congreso una propuesta para crear la Agencia Nacional de Evaluación de Tecnologías de Salud, que va a estudiar los medicamentos, productos y procedimientos para cada enfermedad, con el objetivo de bajar costos y evitar sobreprecios”, ¿de qué forma la AGNET bajará los costos de las tecnologías y evitará sobreprecios, dado que ninguna norma se refiere a este tema? ",SI,Salud  ,Programas/servicios de salud,ALCANCE DECISIONES AGNET
96,26/09/2016,28/09/2016,141,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Interior, Obras Públicas y Vivienda",,,,,"En materia de obra pública, ¿cuál es el estado de avance de obra pública en el país y cuál es la ejecución presupuestaria realizada en este segundo semestre del año?",SI,"Interior, Obras Públicas y Vivienda",Obras Públicas/Infraestructura Pública,EJECUCIÓN OBRA PÚBLICA EN EL PAÍS
96,26/09/2016,28/08/2016,142,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,"La Resolución Conjunta N° 1 del Ministerio de Salud y la Secretaría de Comercio derogó normas la Resolución Conjunta N° 1.710 del Ministerio de Salud y la N° 406 de la Secretaría de Comercio de fecha 30 de septiembre de 2015, que  se relacionan con transparentar la estructura de costos de los medicamentos, dado que se previa que en el caso de incorporación de nuevos medicamentos de alto impacto económico, susceptibles de reintegro, las empresas titulares de cada especialidad debían acreditar fundadamente la estructura de costos que justifiquen el precio final de venta; como así también los procedimientos para el control de precios, analizar costos y determinar si el precio del medicamento era razonable. ","¿Cuáles fueron las razones fácticas que llevaron a la toma de tal decisión que permitirá  que los laboratorios no deban informar su estructura de costos?
Al privarse el Estado Nacional de contar con información para hacer evaluaciones sobre costos de medicamentos, ¿cuáles serán las acciones que se impulsarán  para determinar la razonabilidad de los precios de los medicamentos?, ¿cuáles serán las medidas que se tomarán para evitar los sobreprecios de los medicamentos?",SI,Salud  ,Medicamentos/ANMAT,CONTROL PRECIOS MEDICAMENTOS
96,26/09/2016,28/09/2016,143,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Transporte,,,,,"Específicamente, respecto al cierre del Aeropuerto de la Provincia de Mendoza “El Plumerillo” durante los meses de septiembre y diciembre de 2016, donde la actividad y las fuente de trabajo que genera el mismo se verá afectada, como así también afectará a sectores como el turístico, ¿qué medidas se tomarán para atenuar tal situación?",SI,Transporte ,Aeropuertos/Aerolíneas/Transporte aéreo,IMPACTO CIERRE AEROPUERTO EL PLUMERILLO
96,26/09/2016,28/09/2016,144,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"¿Cuál es la razón por la cual desde la Dirección Nacional de Sida y Enfermedades de Transmisión Sexual de la Nación no se están adquiriendo reactivos para la detección de VIH/SIDA, como así medicamentos ni se está entregando folletería a las direcciones provinciales que abordan esta temática?",SI,Salud  ,Programas/servicios de salud,REACTIVOS DETECCIÓN VIH/SIDA
96,26/09/2016,28/08/2016,145,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Salud,,,,,"En la provincia de Mendoza han habido ya varios casos de denuncia de personas que han concurrido a las sedes de Desarrollo Social, ya a nivel provincial como municipal, y que no han podido iniciar el trámite de pensión por discapacidad ya que el personal no cuenta con el formulario correspondiente, el cual es enviado desde nación. ¿Cuándo serán entregados por parte del Estado Nacional a las provincias dichos formularios?",SI,Desarrollo Social ,Economía Social,FORMULARIOS ADHESION PENSIONES CONTRIBUTIVAS
96,26/09/2016,28/09/2016,146,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Modernización,Jefatura de Gabinete,,Ministerio de Interior,"En relación al Proyecto de Ley enviado por el Poder Ejecutivo a este Congreso Nacional sobre el Régimen de Contratación Público- Privada celebrado entre la administración pública nacional, centralizada y descentralizada y sujetos privados: se establece la posibilidad de acudir a auditores externos con suficiente idoneidad técnica, independencia e imparcialidad y comprobada trayectoria nacional o internacional para controlar la ejecución de los proyectos:","¿En qué circunstancias se acudiría a auditores externos?,¿Qué causas lo justifican? ¿Cuál es el alcance de esa auditoría, ¿quién la solicitaría?
¿Qué rol alcanzan las disposiciones de la ley 24156 Ley de Administración Financiera y de los Sistemas de Control del Sector Público Nacional, en relación a los dictámenes que emita la auditoría externa?",SI,Jefatura de Gabinete,Régimen de Contratación,RÉGIMEN DE CONTRATACIÓN PÚBLICO PRIVADA
96,26/09/2016,28/09/2016,147,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Modernización,Jefatura de Gabinete,,Ministerio de Interior,"En relación al Proyecto de Ley enviado por el Poder Ejecutivo a este Congreso Nacional sobre el Régimen de Contratación Público- Privada celebrado entre la administración pública nacional, centralizada y descentralizada y sujetos privados: se establece la posibilidad de acudir a auditores externos con suficiente idoneidad técnica, independencia e imparcialidad y comprobada trayectoria nacional o internacional para controlar la ejecución de los proyectos:","Se establece que las obligaciones de pago asumidas por la contratante pueden ser garantizadas mediante “la afectación específica y/o la transferencia de recursos tributarios, créditos, bienes, fondos y cualquier clase de ingresos públicos ¿Qué alcance tiene esta norma respecto a que los Estados provinciales garanticen con recursos propios, que en su mayoría son coparticipables, la rentabilidad de las empresas con el objetivo de que estas inviertan?",SI,Jefatura de Gabinete,Régimen de Contratación,RÉGIMEN DE CONTRATACIÓN PÚBLICO PRIVADA
96,26/09/2016,28/08/2016,148,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),"Ministerio de Trabajo, Empleo y Seguridad Social",,,,,"La situación económica en el primer semestre del año ha sido caótica, especialmente para el salario de los trabajadores, que según estimaciones oficiales ha caído 13 puntos.  Esta circunstancia amerita que se reabran las paritarias, ¿cuál es la decisión que se tomara en este sentido?",SI,"Trabajo, Empleo y Seguridad Social",Política de Empleo y Desempleo  ,REAPERTURA PARITARIAS
96,26/09/2016,28/09/2016,149,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Modernización,,,,,"¿Cuáles son las razones que justifican el anuncio por parte del Ministerio de Modernización de la Nación de nuevos despidos en el sector público, tal como ha sido publicado por diferentes medios periodísticos?",SI,Modernización ,Empleo público  ,NUEVOS DESPIDOS SECTOR PÚBLICO
96,26/09/2016,28/09/2016,150,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Defensa,,,,En relación programa de actuación de las Fuerzas Armadas Argentinas:,"¿Cuáles son las competencias y tareas específicas que se les designarán y en qué tipos de operativos actuarán?¿Habrá presencia de las Fuerzas Armada en barrios populares y de clase media, y en su caso cuál sería la justificación y objetivos de su presencia?¿Con qué elementos, equipo de seguridad y de protección contarán al momento de realizar los operativos que le fueran designados, en qué casos se portarán armas letales, y en su caso, cuáles?; ¿cuál se utilizaría para cada caso que se aborde? ¿Cuáles son las medidas de fuerza que pueden tomar ante los distintos operativos, y si existe algún protocolo de actuación para cada uno de ellos, se ha brindado capacitación especial para el abordaje de cada operativo?",SI,Defensa ,FF.AA.,FFAA EN SEGURIDAD INTERIOR
96,26/09/2016,28/08/2016,151,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Seguridad,,,,,"¿Existe algún plan de lucha contra el narcotráfico y el terrorismo que se esté llevando adelante, incluso si este fuera como prueba piloto junto a las fuerzas policiales y armadas?",SI,Seguridad ,Narcotráfico  ,COMBATE AL CRIMEN ORGANIZADO
96,26/09/2016,28/09/2016,152,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Seguridad,,,,,"¿Existen acuerdos de cooperación en materia de seguridad con otros países, en su caso, señale con cuáles y qué consisten los mismos?",SI,Seguridad ,Acuerdos Internacionales,ACUERDOS DE COOPERACIÓN INTERNACIONAL
96,26/09/2016,28/09/2016,153,,"Fernández Sagasti, Anabel (MZA - PJ-FpV)",PJ - Frente para la Victoria (PJ - FpV),Ministerio de Seguridad,,,,, ¿Qué información ha intercambiado nuestro país en materia de seguridad con los Estados Unidos y el Estado de Israel y con qué otros países se ha llevado adelante esta práctica? ,SI,Seguridad ,Acuerdos Internacionales,ASISTENCIA TECNICA INTERNACIONAL EN SEGURIDAD
96,26/09/2016,28/08/2016,154,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,ANSES,,,,Créditos ProCreAr,¿Cuál es la cantidad de créditos otorgados durante el año 2016? Detalle los números por jurisdicción.,SI,ANSES,ProCreAr,ESTADÍSTICAS CREDITOS PROCREAR
96,26/09/2016,28/09/2016,155,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,ANSES,,,,,¿Cuáles son los criterios utilizados en el establecimiento de los requisitos para acceder al Crédito procrear Complementario?,SI,ANSES,ProCreAr,CRITERIOS CREDITO PROCREAR COMPLEMENTARIO
96,26/09/2016,28/09/2016,156,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,ANSES,,,,,"¿Tienen estimado incluir en este Crédito Complementario a aquellos adjudicatarios de las líneas PROCREAR Construcción y Compra de Terreno + Construcción que vieron desactualizados sus adelantos de obra  con motivo de la inflación? Si es positiva la respuesta, de qué manera.",SI,ANSES,ProCreAr,CRITERIOS CREDITO PROCREAR COMPLEMENTARIO
96,26/09/2016,28/08/2016,157,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,ANSES,,,,,Informe si se encuentra en estudio algún tipo de solución para aquellos que tengan ingresos superiores a $ 30.000 pesos y requieran el crédito complementario.,SI,ANSES,ProCreAr,CRITERIOS CREDITO PROCREAR COMPLEMENTARIO
96,26/09/2016,28/09/2016,158,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,ANSES,,,,,"¿Qué respuesta brindarán a aquellos que, necesitando el crédito complementario, no hayan alcanzado un avance mínimo del 65% en el cobro del último desembolso del crédito o que ya hayan superado el 85 % de avance pero no puedan concluir su casa por haber quedado desactualizados los costos de la construcción?",SI,ANSES,ProCreAr,CRITERIOS CREDITO PROCREAR COMPLEMENTARIO
96,26/09/2016,28/09/2016,159,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,ANSES,,,,,¿Cuál es el plan de acción que implementarán para aquellos cuya vivienda se encuentra entre los 90 y 150 metros y requieran el crédito complementario?,SI,ANSES,ProCreAr,CRITERIOS CREDITO PROCREAR COMPLEMENTARIO
96,26/09/2016,28/08/2016,160,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Plan Belgrano,,,,,¿Cuáles son las obras incluidas en el PLAN BELGRANO para la provincia de Salta? ,SI,PlanBelgrano,Gestión de obras,OBRAS EN SALTA
96,26/09/2016,28/09/2016,161,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Plan Belgrano,,,,,Informe los fondos asignados a cada obra y las posibles fechas de inicio.,SI,PlanBelgrano,Gestión de obras,OBRAS Y FECHA DE INICIO
96,26/09/2016,28/09/2016,162,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,"Ministerio de Interior, Obras Públicas y Vivienda",,,,,"Informe sobre el plan de ejecución de obras para la recuperación de los ramales ferroviarios en la provincia de Salta, en especial los ramales C14 y C15. Ambas obras fueron ratificadas mediante decreto 868/2016.",SI,Transporte ,Política Ferroviaria  ,OBRA RAMALES FERROVIARIOS SALTA
96,26/09/2016,28/08/2016,163,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Modernización,,,,Informe sobre la existencia de un “Programa de Análisis y Planificación de Dotaciones” llevado adelante por el  Ministerio de Modernización de la Nación. En el caso de que esté siendo implementado:,"¿Qué variables serán tenidas en cuenta para la evaluación del personal?
¿Cuántos contratos se encuentran en revisión hasta la fecha?
¿Qué cantidad de cesantías se producirán en función del cumplimiento del programa?",SI,Modernización ,Empleo público  ,PROGRAMA DE ANÁLISIS Y PLANIFICACIÓN DE DOTACIONES
96,26/09/2016,28/09/2016,164,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Modernización,,,,Respecto al Proyecto en tratamiento en la Cámara de Diputados de la Nación sobre la implementación obligatoria de la Boleta Única Electrónica en los procesos electorales:,¿Se ha realizado algún tipo de estudio o investigación respecto a la disponibilidad de recursos humanos y científico-tecnológicos en nuestro país para la producción de software y hardware de propiedad estatal?,SI (MODERNIZACION),"Interior, Obras Públicas y Vivienda",Política electoral,BOLETA ÚNICA ELECTRÓNICA
96,26/09/2016,28/09/2016,165,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Modernización,,,,Respecto al Proyecto en tratamiento en la Cámara de Diputados de la Nación sobre la implementación obligatoria de la Boleta Única Electrónica en los procesos electorales:,¿Hay algún tipo de previsión presupuestaria sobre cuánto costaría el alquiler del software y los hardware requeridos para llevar a cabo las jornadas electivas en todo el territorio de nuestro país? ¿Se han comparado estos presupuestos con el de una posible producción de los mismos que sean propiedad del Estado?,SI (MODERNIZACION),"Interior, Obras Públicas y Vivienda",Política electoral,BOLETA ÚNICA ELECTRÓNICA
96,26/09/2016,28/08/2016,166,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Modernización,,,,,¿Cuántas empresas en nuestro país están hoy en condiciones de competir en la licitación por el alquiler del software y hardware para la implementación de la Boleta Única Electrónica?,SI (MODERNIZACION),"Interior, Obras Públicas y Vivienda",Política electoral,SOFT Y HARD PARA BOLETA ÚNICA ELECTRÓNICA
96,26/09/2016,28/09/2016,167,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Modernización,,,,,¿Se prevé algún plan de adecuación de los establecimientos designados para la votación en el interior de nuestro país en función de las necesidades técnicas que requeriría la implementación de la Boleta Única Electrónica?,SI (MODERNIZACION),"Interior, Obras Públicas y Vivienda",Política electoral,BOLETA ÚNICA ELECTRÓNICA
96,26/09/2016,28/09/2016,168,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Relaciones Exteriores y Culto,,,,,"Informe cuáles son las medidas concretas que se han realizado hasta la fecha para revertir el déficit de la balanza comercial entre nuestro país y la República Popular China, conforme a los objetivos previstos en el convenio marco de cooperación en materia económica y de inversiones entre el gobierno de la República Argentina y el gobierno de la República Popular China, suscripto el 18 de Julio de 2014.En el caso de haberse efectuado acciones concretas, informe el resultado de las mismas.",SI,Relaciones Exteriores y Culto,Comercio interior/exterior,DEFICIT BALANZA COMERCIAL CON CHINA
96,26/09/2016,28/08/2016,169,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Relaciones Exteriores y Culto,,,,,"¿Cuáles son los acuerdos, contratos, programas o proyectos que se han suscripto hasta la fecha en el marco del convenio con la Republica de Popular de China ? Informe los compromisos en término de inversiones, financiamiento y adquisiciones, entre otros asumidos. Indique cuál es la ejecución real de tales compromisos.",SI,Relaciones Exteriores y Culto,Comercio interior/exterior,ACUERDOS CON CHINA
96,26/09/2016,28/09/2016,170,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Relaciones Exteriores y Culto,,,,Convenio marco de cooperación en materia económica y de inversiones entre el Gobierno de la República Argentina y el Gobierno de la República Popular de China . ,"Tanto el financiamiento externo como la inversión extranjera deben generar un proceso de desarrollo interno. En este sentido, informe si se ha suscripto algún acuerdo que potencie la transferencia de tecnología y conocimiento a la vez de promover la producción local de productos de alto valor agregado.",SI,Relaciones Exteriores y Culto,Comercio interior/exterior,ACUERDOS CON CHINA
96,26/09/2016,28/09/2016,171,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Relaciones Exteriores y Culto,,,,,"¿Cuáles son los sectores industriales nacionales de potencial exportador al mercado chino y las inversiones comprometidas y ejecutadas hasta la fecha?  A fin de incrementar la capacidad productiva de estos sectores locales y la complementariedad productiva entre ambos países, detalle cuáles son los planes delineados por sector.",SI,Relaciones Exteriores y Culto,Comercio interior/exterior,SECTORES CON EXPORTACIÓN A CHINA
96,26/09/2016,28/08/2016,172,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Agroindustria,,,,"Teniendo en cuenta la composición por rubro de las exportaciones argentinas y su evolución, indique","¿Cuál es el plan de acción a implementar en materia de política comercial e industrial a fin de revertir una estructura exportadora concentrada en las primeras etapas de las cadenas agroalimentarias con poco valor agregado?  Debido a esta situación, el valor unitario promedio de la tonelada exportada por Argentina es inferior al promedio mundial. Mientras Argentina exporta una tonelada promedio de 450 dólares, el mundo está comprando una tonelada de producto agroindustrial por un valor que supera los 800 dólares.",SI,Agroindustria ,Agricultura  ,POLITICA DE CALIDAD PARA PRODUCTOS AGROALIMENTARIAS
96,26/09/2016,28/09/2016,173,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Agroindustria,,,,"Teniendo en cuenta el posible impacto negativo sobre las exportaciones argentinas, en caso de que la UE establezca como norma técnica el requisito de etiquetado de productos: “Huella de Carbono y Huella Ambiental”. Informe:","¿Cuáles son las acciones que se están llevando a cabo, en materia de adecuación de exportaciones y cuál es la situación actual del Proyecto de Agricultura Inteligente, Huella de Carbono y Huella Hídrica (AIHCHI): de la Secretaría de Agricultura, Ganadería y Pesca del antes MAGyP en colaboración con el Instituto Interamericano de Cooperación para la Agricultura (IICA)?",SI,Agroindustria ,Exportación/importación,EXPORTACIÓN A UNION EUROPEA
96,26/09/2016,28/09/2016,174,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Transporte,,,,"En cuanto a la discusión que se está dando actualmente en el ámbito de la Organización de Aviación Civil Internacional (OACI), en relación con las medidas para controlar las emisiones de carbono de la ACI y considerando el posible impacto en incremento de costos, pérdida de competitividad y el precedente para las emisiones de transporte marítimo : ",¿Cuál es el plan de acción a seguir?,SI,Transporte ,Aeropuertos/Aerolíneas/Transporte aéreo,ACCIÓN CONTROL EMISIONES FLOTA MARITIMA
96,26/09/2016,28/08/2016,175,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Hacienda y Finanzas Públicas,,,,,"En cuanto a la autorización a contraer deuda para hacer frente a los gastos originados por el incremento en las prestaciones previsionales de $ 76.000 millones, especifique las condiciones en las que se pretende acceder al crédito tales como tasas, plazos, entre otras consideraciones.",,Hacienda y Finanzas Públicas,Deuda Pública/emisión de deuda,CONDICIONES ACCESIBILIDAD DEUDA PARA NUEVOS GASTOS
96,26/09/2016,28/09/2016,176,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,"Ministerio de Interior, Obras Públicas y Vivienda",,,,,Especifique el criterio federal de distribución utilizado al momento de asignar la proyección de obras entre las distintas provincias por un valor de $ 98.673.986.173. ,SI,"Interior, Obras Públicas y Vivienda",Obras Públicas/Infraestructura Pública,OBRA PÚBLICA EN EL PAÍS
96,26/09/2016,28/09/2016,177,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,"Ministerio de Interior, Obras Públicas y Vivienda",,,,,"Informe el valor estratégico de las obras a realizarse en la Ciudad Autónoma de Buenos Aires y la Provincia de Buenos Aires, dado que entre ambas representan el 89% del presupuesto total autorizado por el DNU.",SI,"Interior, Obras Públicas y Vivienda",Obras Públicas/Infraestructura Pública,IMPORTANCIA OBRAS A EJECUTARSE EN AMBA
96,26/09/2016,28/08/2016,178,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Hacienda y Finanzas Públicas,,,,,"Indique el origen de los recursos a utilizar para la ejecución de dichas obras, especificando las condiciones en las que se pretende acceder al crédito en cuanto a tasas, plazos y otros ítems a tener en cuenta.",,"Interior, Obras Públicas y Vivienda",Obras Públicas/Infraestructura Pública,FINANCIAMIENTO OBRAS A EJECUTARSE EN AMBA
96,26/09/2016,28/09/2016,179,,"Fiore Viñuales, María Cristina del Valle (SAL - PARES)",PARES,Ministerio de Transporte,,,," En relación a la obra “Soterramiento del corredor ferroviario Caballito-Moreno de la línea Ferrocarril Sarmiento”, informe:","¿Qué criterio se ha utilizado para determinar el monto total de la obra, por $ 45.000 millones, que al tipo de cambio vigente representa aproximadamente US$ 3.000 millones, teniendo en cuenta que a julio de 2015, y conforme los datos estimados por el informe de gestión de la “Unidad Ejecutora de la Obra de Soterramiento del corredor ferroviario Caballito-Moreno de la línea Ferrocarril Sarmiento” se estimaba la financiación faltante en US$ 2.500 millones?",SI,Transporte ,Política Ferroviaria  ,OBRA SOTERRAMIENTO TRAN SARMIENTO
